Huế,Thừa Thiên Huế,Miền Trung,Điểm đến,"Cố đô UNESCO với Đại Nội (cung điện hoàng gia, Forbidden Purple City), lăng Khải Định (lăng mộ nghệ thuật), sông Hương (thơ mộng), cầu Tràng Tiền (cầu sắt cổ), mũi Đại Lãnh (biển), ẩm thực bún bò đặc trưng, check-in: Chùa Thiên Mụ (tháp 7 tầng), lăng Minh Mạng (kiến trúc phong thủy), lăng Tự Đức (hồ sen), Hue Citadel (tường thành cổ), Dong Ba Market (chợ truyền thống)."
Huế,Thừa Thiên Huế,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–8: Khô, 25–32°C, lý tưởng khám phá di tích. Tránh 9–11 (mưa lũ, ngập), mùa đông 12–2 lạnh nhưng hoa nở."
Huế,Thừa Thiên Huế,Miền Trung,Mức độ an toàn,"An ninh tốt, di tích an toàn. Cẩn thận lũ mùa mưa (theo dõi VTV). Không dịch bệnh. Cấp cứu: 115 hoặc BV Huế."
Huế,Thừa Thiên Huế,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Máy bay khứ hồi: 1-2 triệu; KS: 800k-1.2 triệu; Ăn: 500k-700k; Vé Đại Nội: 200k; Boat sông Hương: 150k; Tổng ≈ 3-5 triệu (tiết kiệm) → 6 triệu (sang)."
Huế,Thừa Thiên Huế,Miền Trung,Gói tour tiết kiệm,"Tour 3N2Đ (ks + Đại Nội + sông Hương + ca Huế): 2.5-3.5 triệu (Vietravel)."
Huế,Thừa Thiên Huế,Miền Trung,Nơi ở (đề xuất 5),"1. Azerai La Residence (sông Hương) – 9.0/10, view sông, spa, bữa sáng, 1.5-2 triệu. 2. Huong Giang Resort – 8.5/10, hồ bơi, 800k-1 triệu. 3. Sunriver Boutique – 8.2/10, trung tâm, 400k-600k. 4. Hue Lotus Hotel – 8.0/10, sạch sẽ, 300k-500k. 5. Homestay Huế – 7.8/10, gia đình, 250k-400k."
Huế,Thừa Thiên Huế,Miền Trung,Di chuyển đến nơi,"Máy bay (Nội Bài → Phú Bài, 1-2 triệu, 1h). Xe khách từ HN: 800k-1 triệu (15h). Tàu hỏa: 800k (15h)."
Huế,Thừa Thiên Huế,Miền Trung,Giao thông nội bộ,"Thuê xích lô: 50-120k/giờ (dạo phố). Xe máy: 150k/ngày. Thời gian: trung tâm đến lăng Khải Định 30 phút, chi phí rẻ."
Huế,Thừa Thiên Huế,Miền Trung,Ẩm thực,"Đặc sản: Bún Bò Huế (nước dùng cay), Cơm Hến (cơm mussel). Quán: Bà Đỏ (bún bò, 23 Nguyễn Thái Học, 30k-50k). Giá hợp lý, hợp khẩu vị cay. An toàn, tránh dị ứng hải sản."
Huế,Thừa Thiên Huế,Miền Trung,Hoạt động và trải nghiệm,"Tham quan: Đại Nội (lịch sử hoàng gia), nghe ca Huế sông Hương. Leo lăng mộ, boat ride sông Hương, khám phá văn hóa Nguyễn triều, lễ hội Huế (tháng 4). Trải nghiệm độc đáo: Ca Huế biểu diễn, cooking class bún bò. Tour ngắn: Đại Nội 1 ngày (200k), hoạt động trẻ em: Vườn chim, boat ride."
Huế,Thừa Thiên Huế,Miền Trung,Thông tin và kết nối,"Wifi mạnh ks. Bản đồ: Google Maps, app: Hue Travel. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Huế 0234 3828 288."
Huế,Thừa Thiên Huế,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Gia đình (lịch sử giáo dục), người yêu (sông Hương lãng mạn), bạn bè (tour lăng mộ). Mục đích: Khám phá lịch sử, văn hóa, thư giãn sông nước. Trải nghiệm cảm xúc: Trầm mặc cổ kính, thư giãn, an toàn."
Huế,Thừa Thiên Huế,Miền Trung,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 3–8 (25–32°C). Nhiệt độ TB: 25–32°C, mưa lớn 9–11. Trang phục: Áo thoáng, mũ, giày thoải mái dạo di tích. Ảnh hưởng: Tham quan ok khô, boat ride tránh mưa; kiểm tra dự báo."

Nha Trang,Khánh Hòa,Miền Trung,Điểm đến,"Biển đảo với Vinpearl Land (công viên giải trí, thủy cung), viện Hải Dương học (bảo tàng sinh vật biển), tháp Ponagar (di tích Chăm cổ), chợ Đầm (mua sắm hải sản), mũi Đại Lãnh (mũi cực Đông), check-in: Hòn Chồng (đá chồng kỳ lạ), đảo Bình Ba (làng chài), Hon Mun (lặn san hô), Hon Tam (resort đảo), Tri Nguyen Aquarium (hồ cá ngoài trời)."
Nha Trang,Khánh Hòa,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–9: Khô, 25–30°C, lý tưởng lặn biển. Tránh 10–12 (mưa bão, sóng lớn)."
Nha Trang,Khánh Hòa,Miền Trung,Mức độ an toàn,"An ninh tốt, biển có cứu hộ. Cẩn thận bão mùa mưa. Không dịch bệnh. Cấp cứu: 115 hoặc BV Nha Trang."
Nha Trang,Khánh Hòa,Miền Trung,Tổng chi phí (4N3Đ/1 người),"Bay khứ hồi: 1-2 triệu; KS: 1-1.5 triệu; Ăn: 800k; Vé Vinpearl: 880k; Tour đảo: 500k; Tổng ≈ 3.5-5 triệu (tiết kiệm) → 6-8 triệu (sang)."
Nha Trang,Khánh Hòa,Miền Trung,Gói tour tiết kiệm,"Tour 4N3Đ (ks + Vinpearl + đảo lặn): 3-4 triệu (Klook)."
Nha Trang,Khánh Hòa,Miền Trung,Nơi ở (đề xuất 5),"1. Champa Island Resort – 8.5/10, đảo riêng, hồ bơi, 1-1.5 triệu. 2. Sheraton Nha Trang – 8.7/10, view biển, 1-1.2 triệu. 3. An Lam Retreats – 9.0/10, sinh thái, 1.5-2 triệu. 4. Nice Dream Hotel – 8.2/10, trung tâm, 400k-600k. 5. Homestay Nha Trang – 8.0/10, giá rẻ, 300k-400k."
Nha Trang,Khánh Hòa,Miền Trung,Di chuyển đến nơi,"Máy bay (TSN → Cam Ranh, 1-2 triệu, 1h). Xe khách từ HN: 500k-700k (20h)."
Nha Trang,Khánh Hòa,Miền Trung,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày. Grab: 10k/km. Thời gian: trung tâm đến Vinpearl 20 phút cáp treo, chi phí hợp lý."
Nha Trang,Khánh Hòa,Miền Trung,Ẩm thực,"Đặc sản: Hải sản (bún cá, tôm hùm), Bún Cá (nước dùng cá tươi). Quán: Hải sản 26 (view biển, 150k-400k). Giá hợp lý, hợp khẩu vị biển. An toàn, chọn hải sản sống."
Nha Trang,Khánh Hòa,Miền Trung,Hoạt động và trải nghiệm,"Tắm biển Nha Trang, lặn san hô Hon Mun, Vinpearl (cáp treo, công viên nước), thăm tháp Ponagar (văn hóa Chăm), lễ hội biển (tháng 6), shopping chợ Đầm. Trải nghiệm độc đáo: Mud bath spa, snorkeling đảo. Tour ngắn: Đảo 1 ngày (500k), hoạt động trẻ em: Thủy cung, công viên nước."
Nha Trang,Khánh Hòa,Miền Trung,Thông tin và kết nối,"Wifi mạnh. Bản đồ: Google Maps, app: Nha Trang Travel. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Khánh Hòa 0258 3528 000."
Nha Trang,Khánh Hòa,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Gia đình (Vinpearl vui), cặp đôi (lặn lãng mạn), bạn bè (water sports). Mục đích: Nghỉ dưỡng biển, khám phá đảo, thư giãn spa. Cảm xúc: Vui vẻ giải trí, thư giãn, an toàn."
Nha Trang,Khánh Hòa,Miền Trung,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 3–9 (25–30°C). Nhiệt độ TB: 25–30°C, mưa 10–12. Trang phục: Đồ bơi, kem chống nắng, áo khoác mỏng. Ảnh hưởng: Lặn biển ok khô, tránh bão; kiểm tra dự báo."

Đà Lạt,Lâm Đồng,Miền Trung,Điểm đến,"Thành phố ngàn hoa với hồ Xuân Hương (hồ trung tâm), thác Datanla (cáp treo, trượt máng), vườn hoa thành phố (hàng ngàn loài hoa), chợ đêm (mua sắm dâu tây), check-in: Đồi chè Cầu Đất (xanh mướt), vườn dâu tây (hái dâu), Crazy House (kiến trúc kỳ quái), Langbiang Mountain (leo núi), Truc Lam Pagoda (chùa thiền), Pongour Waterfall (thác voi)."
Đà Lạt,Lâm Đồng,Miền Trung,Thời điểm đẹp nhất,"Tháng 11–4: Khô, hoa nở rộ, 15–25°C. Tránh 5–10 (mưa lớn, sương mù)."
Đà Lạt,Lâm Đồng,Miền Trung,Mức độ an toàn,"An ninh tốt. Lạnh đêm, cẩn thận cảm cúm. An toàn đường đèo, lái cẩn thận. Cấp cứu: 115 hoặc BV Đà Lạt."
Đà Lạt,Lâm Đồng,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Bay khứ hồi: 1-2 triệu; KS: 800k-1.2 triệu; Ăn: 500k-700k; Vé thác Datanla: 50k; Tổng ≈ 2.5-4 triệu (tiết kiệm) → 5-6 triệu (sang)."
Đà Lạt,Lâm Đồng,Miền Trung,Gói tour tiết kiệm,"Combo 3N2Đ (ks + tour vườn hoa + thác): 2-3 triệu (Klook)."
Đà Lạt,Lâm Đồng,Miền Trung,Nơi ở (đề xuất 5),"1. Ana Mandara Villas – 9.0/10, villa cổ, 1.5-2 triệu. 2. Swiss-Belresort Tuyen Lam – 8.5/10, hồ bơi, 1-1.2 triệu. 3. Romeo & Juliet Hotel – 8.2/10, trung tâm, 500k-700k. 4. Nice Dream Hotel – 8.0/10, giá rẻ, 400k-500k. 5. Homestay Đà Lạt – 7.8/10, thân thiện, 300k-400k."
Đà Lạt,Lâm Đồng,Miền Trung,Di chuyển đến nơi,"Máy bay (TSN → Liên Khương, 1-2 triệu, 1h). Xe khách từ HN: 500k-700k (20h)."
Đà Lạt,Lâm Đồng,Miền Trung,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày. Grab: 10k/km. Thời gian: trung tâm đến thác Datanla 20 phút."
Đà Lạt,Lâm Đồng,Miền Trung,Ẩm thực,"Đặc sản: Bánh căn (bánh nướng giòn), Lẩu bò (nóng hổi). Quán: Quán Gỗ (bánh căn, 50k-100k). Giá hợp lý, hợp khẩu vị lạnh. An toàn, chọn quán sạch."
Đà Lạt,Lâm Đồng,Miền Trung,Hoạt động và trải nghiệm,"Tham quan: Hồ Xuân Hương (dạo bộ), hái dâu vườn, trượt máng thác Datanla, khám phá văn hóa cồng chiêng, lễ hội hoa (tháng 12), shopping chợ đêm. Trải nghiệm độc đáo: Cloud hunting Langbiang, coffee view đồi. Tour ngắn: Vườn hoa 1 ngày (50k), hoạt động trẻ em: Vườn dâu, cáp treo."
Đà Lạt,Lâm Đồng,Miền Trung,Thông tin và kết nối,"Wifi tốt. Bản đồ: Google Maps, app: Dalat Travel. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Lâm Đồng 0263 3822 111."
Đà Lạt,Lâm Đồng,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Người yêu (lãng mạn hoa), gia đình (vườn dâu vui). Mục đích: Nghỉ dưỡng mát mẻ, chụp ảnh hoa, đổi gió. Cảm xúc: Thơ mộng, thư giãn, an toàn."
Đà Lạt,Lâm Đồng,Miền Trung,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa hoa 11–4 (15–25°C). Nhiệt độ TB: 15–25°C, sương mù sáng. Trang phục: Áo ấm, khăn, giày thoải mái. Ảnh hưởng: Trekking ok khô, tránh mưa sương; kiểm tra dự báo."

Phong Nha,Quảng Bình,Miền Trung,Điểm đến,"Vườn quốc gia UNESCO với động Phong Nha (hang sông dài nhất), Thiên Đường (hang khô đẹp), Sơn Đoòng (hang lớn nhất thế giới), suối Moọc (tắm suối), mũi Đại Lãnh (biển), check-in: Hang Én (hang chim yến), Zipline sông Chày (zipline dài), Blue Diamond Retreat (cắm trại), Vinh Moc Tunnels (di tích chiến tranh), Nhat Le Beach (bãi biển gần)."
Phong Nha,Quảng Bình,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–8: Khô, 25–30°C, lý tưởng khám hang. Tránh 9–11 (mưa lũ, hang ngập)."
Phong Nha,Quảng Bình,Miền Trung,Mức độ an toàn,"An ninh tốt. Cẩn thận lũ hang động, chỉ đi tour hướng dẫn. Không dịch bệnh. Cấp cứu: 115 hoặc BV Phong Nha."
Phong Nha,Quảng Bình,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Xe HN–QB: 600k-800k; KS: 600k; Ăn: 400k-500k; Vé động Phong Nha: 150k; Trek Sơn Đoòng: cao; Tổng ≈ 2-3 triệu (tiết kiệm) → 5 triệu (tour hang)."
Phong Nha,Quảng Bình,Miền Trung,Gói tour tiết kiệm,"Tour 3N2Đ (ks + động Phong Nha + Thiên Đường + zipline): 2.5-3.5 triệu (Oxalis)."
Phong Nha,Quảng Bình,Miền Trung,Nơi ở (đề xuất 5),"1. Chày Lập Farmstay – 8.5/10, sinh thái, 600k-800k. 2. Phong Nha Lake House – 8.2/10, view hồ, 400k-500k. 3. Nguyen Shack – 8.0/10, giá rẻ, 300k-400k. 4. Funny Monkeys Homestay – 7.8/10, thân thiện, 250k-350k. 5. Homestay Phong Nha – 7.5/10, cơ bản, 200k-300k."
Phong Nha,Quảng Bình,Miền Trung,Di chuyển đến nơi,"Xe khách (12h từ HN, 600k-800k từ HN). Máy bay → Đồng Hới + xe (1h, 100k)."
Phong Nha,Quảng Bình,Miền Trung,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày. Tour xe đưa đón: 100k-200k. Thời gian: trung tâm đến động Phong Nha 30 phút."
Phong Nha,Quảng Bình,Miền Trung,Ẩm thực,"Đặc sản: Thịt nướng lá chuối, cá sông nướng. Quán địa phương (gần ks, 50k-150k). Giá rẻ, hợp khẩu vị rừng. An toàn, chọn quán sạch."
Phong Nha,Quảng Bình,Miền Trung,Hoạt động và trải nghiệm,"Khám hang Phong Nha (boat ride sông ngầm), zipline sông Chày, trekking Thiên Đường, kayak suối Moọc, thăm Vinh Moc Tunnels (lịch sử). Trải nghiệm độc đáo: Cắm trại hang Én, star-gazing. Tour ngắn: Động 1 ngày (150k), hoạt động trẻ em: Suối Moọc tắm, zipline nhẹ."
Phong Nha,Quảng Bình,Miền Trung,Thông tin và kết nối,"Wifi trung bình ks. Bản đồ: Google Maps offline, app: Oxalis Adventure. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Quảng Bình 0232 3822 111."
Phong Nha,Quảng Bình,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Bạn bè (mạo hiểm hang), gia đình (tour nhẹ). Mục đích: Khám phá hang động, thiên nhiên. Cảm xúc: Hùng vĩ, phiêu lưu, an toàn với hướng dẫn."
Phong Nha,Quảng Bình,Miền Trung,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 3–8 (25–30°C). Nhiệt độ TB: 25–30°C, lũ 9–11. Trang phục: Giày chống nước, áo mưa, quần dài trekking. Ảnh hưởng: Khám hang ok khô, tránh lũ; kiểm tra dự báo."

Quy Nhơn,Bình Định,Miền Trung,Điểm đến,"Biển Kỳ Co (biển xanh ngọc), Eo Gió (vách đá gió hú), Ghềnh Ráng (mộ Hàn Mặc Tử), bảo tàng Quang Trung (lịch sử), mũi Đại Lãnh (mũi Đông), check-in: Đồi cát Phương Mai (trượt cát), đảo Hòn Khô (làng chài), Thap Doi (tháp Chăm đôi), Ky Co Beach (bãi tắm hoang sơ)."
Quy Nhơn,Bình Định,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–9: Khô, 25–30°C, lý tưởng biển. Tránh 10–12 (mưa bão)."
Quy Nhơn,Bình Định,Miền Trung,Mức độ an toàn,"An ninh tốt. Biển an toàn cứu hộ. Cẩn thận bão. Cấp cứu: 115 hoặc BV Quy Nhơn."
Quy Nhơn,Bình Định,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Bay khứ hồi: 1-2 triệu; KS: 800k; Ăn: 500k; Tour Kỳ Co: 500k; Tổng ≈ 3-4 triệu."
Quy Nhơn,Bình Định,Miền Trung,Gói tour tiết kiệm,"Combo 3N2Đ (ks + Kỳ Co + Eo Gió): 2.5-3.5 triệu."
Quy Nhơn,Bình Định,Miền Trung,Nơi ở (đề xuất 5),"1. FLC Luxury Quy Nhon – 8.5/10, resort biển, 1-1.5 triệu. 2. Seaside Boutique – 8.2/10, view biển, 600k-800k. 3. Life's A Beach Homestay – 8.0/10, giá rẻ, 400k-500k. 4. Homestay Quy Nhơn – 7.8/10, thân thiện, 300k-400k. 5. AVANI Quy Nhon Resort – 9.0/10, cao cấp, 1.5-2 triệu."
Quy Nhơn,Bình Định,Miền Trung,Di chuyển đến nơi,"Máy bay (Phù Cát, 1-2 triệu). Xe khách từ HN: 500k-700k (20h)."
Quy Nhơn,Bình Định,Miền Trung,Giao thông nội bộ,"Thuê xe máy: 150k-200k/ngày. Grab: 10k/km. Thời gian: trung tâm đến Kỳ Co 1h."
Quy Nhơn,Bình Định,Miền Trung,Ẩm thực,"Đặc sản: Banh Xeo Tom Nhay (bánh xèo tôm tươi), hải sản. Quán địa phương (biển, 100k-200k). Giá rẻ, hợp biển. An toàn."
Quy Nhơn,Bình Định,Miền Trung,Hoạt động và trải nghiệm,"Snorkeling Kỳ Co, leo Eo Gió, thăm Ghềnh Ráng, bảo tàng Quang Trung. Trải nghiệm độc đáo: Trượt cát đồi Phương Mai. Tour ngắn: Kỳ Co 1 ngày (500k), hoạt động trẻ em: Bãi biển, trượt cát."
Quy Nhơn,Bình Định,Miền Trung,Thông tin và kết nối,"Wifi tốt. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Bình Định 0256 3822 111."
Quy Nhơn,Bình Định,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Cặp đôi (biển lãng mạn), gia đình (trượt cát vui). Mục đích: Nghỉ dưỡng hoang sơ, khám phá. Cảm xúc: Yên bình, thư giãn."
Quy Nhơn,Bình Định,Miền Trung,Thời tiết và khí hậu,"Thời điểm đẹp: Mùa khô 3–9 (25–30°C). Nhiệt độ TB: 25–30°C, mưa 10–12. Trang phục: Đồ bơi, kem chống nắng. Ảnh hưởng: Biển ok khô; kiểm tra dự báo."

Phú Yên,Phú Yên,Miền Trung,Điểm đến,"Gành Đá Đĩa (đá bazan hình lục giác), vịnh Vũng Rô (biển xanh), đầm Ô Loan (đầm phá hải sản), mũi Đại Lãnh (mũi Đông, hải đăng), check-in: Bãi Xép (bãi biển hoang sơ), hải đăng Đại Lãnh (view biển), O Loan Lagoon (kayak), Bai Mon Beach (bãi biển sạch)."
Phú Yên,Phú Yên,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–8: Khô, 25–30°C. Tránh 9–12 (mưa)."
Phú Yên,Phú Yên,Miền Trung,Mức độ an toàn,"An ninh tốt. Biển an toàn. Cẩn thận mưa lũ. Cấp cứu: 115 hoặc BV Phú Yên."
Phú Yên,Phú Yên,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Xe: 500k; KS: 600k; Ăn: 400k; Tour Gành Đá Đĩa: 200k; Tổng ≈ 2-3 triệu."
Phú Yên,Phú Yên,Miền Trung,Gói tour tiết kiệm,"Tour 3N2Đ (ks + Gành Đá Đĩa + Vũng Rô): 2-3 triệu."
Phú Yên,Phú Yên,Miền Trung,Nơi ở (đề xuất 5),"1. Rosa Alba Tuy Hòa – 8.5/10, biển, 800k-1 triệu. 2. Cendeluxe Hotel – 8.2/10, trung tâm, 600k-800k. 3. Sao Việt Hotel – 8.0/10, giá rẻ, 400k-500k. 4. Homestay Phú Yên – 7.8/10, 300k-400k. 5. Stelia Beach Resort – 9.0/10, cao cấp, 1.5 triệu."
Phú Yên,Phú Yên,Miền Trung,Di chuyển đến nơi,"Máy bay (Tuy Hòa, 1-2 triệu). Xe khách: 500k (10h từ TPHCM)."
Phú Yên,Phú Yên,Miền Trung,Giao thông nội bộ,"Xe máy: 150k-200k. Grab hạn chế, dùng taxi địa phương."
Phú Yên,Phú Yên,Miền Trung,Ẩm thực,"Đặc sản: Mắt cá ngừ đại dương, sò huyết Ô Loan. Quán địa phương (đầm, 100k-200k). Giá rẻ. An toàn."
Phú Yên,Phú Yên,Miền Trung,Hoạt động và trải nghiệm,"Ngắm Gành Đá Đĩa, kayak đầm Ô Loan, thăm mũi Đại Lãnh. Trải nghiệm độc đáo: Hải đăng đêm. Tour ngắn: Gành Đá 1 ngày (200k), hoạt động trẻ em: Bãi biển."
Phú Yên,Phú Yên,Miền Trung,Thông tin và kết nối,"Wifi trung bình. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Phú Yên 0257 3822 111."
Phú Yên,Phú Yên,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Bạn bè (khám phá hoang sơ). Mục đích: Thiên nhiên, biển. Cảm xúc: Bình yên."
Phú Yên,Phú Yên,Miền Trung,Thời tiết và khí hậu,"25–30°C. Mang: Đồ bơi, kem chống nắng, giày thoải mái."

Phan Thiết,Bình Thuận,Miền Trung,Điểm đến,"Biển Mũi Né (resort), đồi cát trắng/đỏ (trượt cát), suối Tiên (suối đỏ kỳ lạ), tháp Poshanư (tháp Chăm), mũi Đại Lãnh (biển), check-in: Bãi đá Ông Địa (đá hình lạ), RD Wine Castle (lâu đài rượu), fishing village (làng chài)."
Phan Thiết,Bình Thuận,Miền Trung,Thời điểm đẹp nhất,"Tháng 11–4: Khô, 25–30°C. Tránh 5–10 (mưa)."
Phan Thiết,Bình Thuận,Miền Trung,Mức độ an toàn,"An ninh tốt. Cẩn thận cát lún đồi. Biển an toàn. Cấp cứu: 115 hoặc BV Phan Thiết."
Phan Thiết,Bình Thuận,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Xe: 400k; KS: 800k; Ăn: 500k; Tour đồi cát: 200k; Tổng ≈ 2-3 triệu."
Phan Thiết,Bình Thuận,Miền Trung,Gói tour tiết kiệm,"Combo 3N2Đ (ks + Mũi Né + đồi cát jeep): 2-3 triệu."
Phan Thiết,Bình Thuận,Miền Trung,Nơi ở (đề xuất 5),"1. Sailing Club Resort – 8.5/10, biển, 1-1.5 triệu. 2. Anantara Mui Ne – 9.0/10, luxury, 1.5-2 triệu. 3. Bamboo Village – 8.2/10, sinh thái, 600k-800k. 4. Homestay Mũi Né – 7.8/10, 300k-400k. 5. Victoria Phan Thiet – 8.7/10, resort, 1-1.2 triệu."
Phan Thiết,Bình Thuận,Miền Trung,Di chuyển đến nơi,"Xe khách (5h từ TPHCM, 200k-300k). Máy bay → TSN + xe."
Phan Thiết,Bình Thuận,Miền Trung,Giao thông nội bộ,"Xe máy: 150k-200k. Tour jeep đồi cát: 200k-300k."
Phan Thiết,Bình Thuận,Miền Trung,Ẩm thực,"Đặc sản: Hải sản, Lẩu thả (lẩu rau củ hải sản). Quán địa phương (Mũi Né, 100k-200k). Giá rẻ. An toàn."
Phan Thiết,Bình Thuận,Miền Trung,Hoạt động và trải nghiệm,"Trượt cát đồi đỏ, lướt ván diều Mũi Né, thăm tháp Poshanư. Trải nghiệm độc đáo: Quad bike đồi cát. Tour ngắn: Đồi cát 1 ngày (200k), hoạt động trẻ em: Trượt cát."
Phan Thiết,Bình Thuận,Miền Trung,Thông tin và kết nối,"Wifi tốt. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Bình Thuận 0252 3822 111."
Phan Thiết,Bình Thuận,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Gia đình (trượt cát vui). Mục đích: Biển mạo hiểm. Cảm xúc: Vui vẻ, hoang dã."
Phan Thiết,Bình Thuận,Miền Trung,Thời tiết và trang phục,"25–30°C. Mang: Đồ bơi, kem chống nắng, giày thể thao."

Ninh Thuận,Ninh Thuận,Miền Trung,Điểm đến,"Vịnh Vĩnh Hy (biển xanh, lặn), hang Rái (đá chồng kỳ lạ), vườn nho (hái nho), tháp Chăm Poklong Garai (kiến trúc cổ), mũi Đại Lãnh (mũi Đông), check-in: Bãi biển Ninh Chữ (dài sạch), đồi cát Nam Cương (trượt cát), Vinh Hy Bay (kayak), Bau Truc pottery village (làng gốm Chăm)."
Ninh Thuận,Ninh Thuận,Miền Trung,Thời điểm đẹp nhất,"Tháng 3–9: Khô, 25–30°C. Tránh 10–12 (mưa)."
Ninh Thuận,Ninh Thuận,Miền Trung,Mức độ an toàn,"An ninh tốt. Cẩn thận nắng nóng sa mạc-like. Biển an toàn. Cấp cứu: 115 hoặc BV Ninh Thuận."
Ninh Thuận,Ninh Thuận,Miền Trung,Tổng chi phí (3N2Đ/1 người),"Xe: 500k; KS: 600k; Ăn: 400k; Tour vịnh: 500k; Tổng ≈ 2-3 triệu."
Ninh Thuận,Ninh Thuận,Miền Trung,Gói tour tiết kiệm,"Tour 3N2Đ (ks + Vĩnh Hy + nho): 2-3 triệu."
Ninh Thuận,Ninh Thuận,Miền Trung,Nơi ở (đề xuất 5),"1. TTC Resort Ninh Thuan – 8.5/10, biển, 600k-800k. 2. Amanoi Resort – 9.0/10, luxury, 4-5 triệu. 3. Hoan My Resort – 8.2/10, 500k-600k. 4. Con Ga Vang Hotel – 8.0/10, 400k-500k. 5. Homestay Ninh Thuan – 7.8/10, 300k-400k."
Ninh Thuận,Ninh Thuận,Miền Trung,Di chuyển đến nơi,"Xe khách (6h từ TPHCM, 300k-400k). Máy bay → Cam Ranh + xe (1h, 100k)."
Ninh Thuận,Ninh Thuận,Miền Trung,Giao thông nội bộ,"Xe máy: 150k-200k. Tour xe đưa đón: 100k-200k."
Ninh Thuận,Ninh Thuận,Miền Trung,Ẩm thực,"Đặc sản: Thịt cừu nướng, nho tươi. Quán địa phương (vườn nho, 100k-200k). Giá rẻ. An toàn."
Ninh Thuận,Ninh Thuận,Miền Trung,Hoạt động và trải nghiệm,"Lặn Vĩnh Hy, hái nho. Trải nghiệm độc đáo: Làm gốm Chăm. Tour ngắn: Vịnh 1 ngày (500k), hoạt động trẻ em: Đồi cát."
Ninh Thuận,Ninh Thuận,Miền Trung,Thông tin và kết nối,"Wifi trung bình. Bản đồ: Google Maps. Không visa. Bảo hiểm: 200k. Hỗ trợ: Sở Du lịch Ninh Thuận 0259 3822 111."
Ninh Thuận,Ninh Thuận,Miền Trung,Yếu tố cá nhân,"Ai đi cùng: Bạn bè (lặn mạo hiểm). Mục đích: Văn hóa Chăm, thiên nhiên. Cảm xúc: Hoang sơ, thư giãn."
Ninh Thuận,Ninh Thuận,Miền Trung,Thời tiết và khí hậu,"25–30°C. Mang: Kem chống nắng, mũ, giày thoải mái."
